Date,ANC_all
5/5/2015,114.645
5/11/2015,101.01
5/12/2015,107.92
5/20/2015,115.91
5/27/2015,134.1
6/2/2015,102.91
6/9/2015,109.09
6/16/2015,123.71
6/22/2015,112.5833333
6/23/2015,100.975
6/29/2015,129.71
7/6/2015,129.695
7/15/2015,132.2525
7/19/2015,60.67454545
7/20/2015,87.75
7/21/2015,123.79
7/22/2015,123.3
7/29/2015,139.29
8/4/2015,153.7233333
8/11/2015,126.49
8/17/2015,161.27
8/24/2015,168.07
9/1/2015,171.11
9/8/2015,182.06
9/13/2015,150.072
9/14/2015,132.83
9/15/2015,157.24
9/22/2015,170.07
9/27/2015,159.66
9/29/2015,154.5066667
9/30/2015,97.026
10/6/2015,143.935
10/14/2015,147.28
10/21/2015,152.08
10/26/2015,153.68
10/29/2015,108.09
11/2/2015,141.29
11/9/2015,131.69
11/16/2015,131.29
11/19/2015,123.03
11/20/2015,106.31
11/23/2015,130.89
12/1/2015,146.045
12/2/2015,110.225
12/8/2015,130.7
12/16/2015,119.7
12/22/2015,112.01
12/23/2015,112.96
12/24/2015,106.765
12/28/2015,109.71
1/6/2016,106.35
1/10/2016,82.19714286
1/11/2016,88.82
1/12/2016,119.11
1/19/2016,98.33
1/26/2016,117.9
2/2/2016,126.195
2/9/2016,121.5
2/17/2016,113.12
2/23/2016,120.1
2/25/2016,83.73
3/1/2016,117.98
3/8/2016,109.91
3/9/2016,100.6
3/10/2016,74.57
3/11/2016,96.79
3/15/2016,106.52
3/22/2016,100.32
3/29/2016,107.94
4/1/2016,81.014
4/5/2016,101.58
4/7/2016,76.73
4/12/2016,76.87
5/2/2016,109.52
5/3/2016,108.435
5/8/2016,117.235
5/10/2016,110.21
5/13/2016,102.58
5/14/2016,116.05
5/15/2016,98.21
5/17/2016,103.41
5/23/2016,131.5
5/30/2016,122.61
6/1/2016,137.075
6/5/2016,94.55222222
6/13/2016,132.41
6/14/2016,137.1
6/21/2016,157.68
6/28/2016,92.931
6/29/2016,132.335
7/4/2016,158.38
7/7/2016,140.08
7/9/2016,139.755
7/12/2016,151.38
7/14/2016,132.5275
7/17/2016,148.18
7/18/2016,136.87
7/22/2016,120.84
7/23/2016,105.74
7/24/2016,142.66
8/1/2016,120.6625
8/2/2016,145.44
8/8/2016,159.47
8/12/2016,170.28
8/13/2016,163.35
8/14/2016,163.59
8/15/2016,162.06
8/16/2016,93.62833333
8/17/2016,99.94
8/21/2016,132.88
8/22/2016,124.7275
8/29/2016,160.97
9/7/2016,173.54
9/11/2016,150.6375
9/12/2016,155.17
9/20/2016,173.46
9/23/2016,162.0266667
9/27/2016,168.87
10/4/2016,161.07
10/12/2016,178.36
10/18/2016,178.96
10/21/2016,108.096
10/22/2016,112.9
10/26/2016,144.89
10/29/2016,102.725
11/1/2016,135.3
11/3/2016,103.64
11/9/2016,140.79
11/15/2016,141.69
11/22/2016,123.89
11/28/2016,119.01
11/29/2016,110.74
12/7/2016,124.845
12/13/2016,123.6
1/4/2017,119.99
1/10/2017,131.5
1/17/2017,130.7
1/25/2017,121.7
1/30/2017,129.525
2/5/2017,126.6
2/14/2017,126
2/21/2017,132.5
2/28/2017,99.5
3/7/2017,121.38
3/13/2017,109.61
3/20/2017,109.91
3/29/2017,103.24
4/3/2017,106.93
4/7/2017,96.01
4/10/2017,77.06
4/11/2017,79.905
4/12/2017,73.45
4/13/2017,77.15
4/15/2017,78.15
4/16/2017,59.44
4/17/2017,72.77666667
4/18/2017,76.45
4/21/2017,73.57
4/24/2017,87.865
5/1/2017,93.3225
5/5/2017,102.645
5/7/2017,97.335
5/9/2017,97.86
5/16/2017,99.01
5/22/2017,99.595
5/24/2017,116.01
5/30/2017,118.08
5/31/2017,111.465
6/4/2017,120.135
6/5/2017,107.355
6/8/2017,111.95
6/13/2017,139.2
6/19/2017,96.57625
6/20/2017,113.952
6/23/2017,126.585
6/27/2017,120.76
6/28/2017,117.825
6/29/2017,106.69
6/30/2017,96.88
7/1/2017,106.05
7/3/2017,129.105
7/12/2017,124.39
7/17/2017,140.19
7/26/2017,144.68
7/31/2017,157.48
8/9/2017,152.38
8/16/2017,151.68
8/23/2017,154.48
8/30/2017,166.77
9/4/2017,137.29
9/12/2017,153.26
9/19/2017,150.38
9/27/2017,177.1
10/3/2017,154.08
10/10/2017,136.7
10/16/2017,147.01
10/23/2017,157.41
10/31/2017,116.18
11/6/2017,99.5
11/13/2017,128.71
11/20/2017,107.91
11/27/2017,124.68
12/4/2017,115.63
12/11/2017,128.83
12/19/2017,111.42
12/27/2017,115.92
1/2/2018,126.58
1/8/2018,93.53
1/15/2018,115.86
1/22/2018,77.58
1/30/2018,88.25
2/5/2018,95.31
2/13/2018,125.24
2/19/2018,128.58
2/27/2018,113.08
3/5/2018,106.38
3/17/2018,125.47
3/27/2018,115.85
4/2/2018,116.3
4/11/2018,102
4/18/2018,98.71
4/26/2018,66.98
4/30/2018,64.92
5/9/2018,84.25
5/14/2018,99.99
5/21/2018,112.76
5/28/2018,119.31
6/7/2018,140.35
6/18/2018,135.1
6/25/2018,134.28
7/2/2018,139.41
7/16/2018,146.04
7/25/2018,166.31
7/30/2018,134.66
8/7/2018,155.37
8/13/2018,161.79
8/21/2018,156.76
8/27/2018,160.1
9/5/2018,156.71
9/11/2018,141.73
9/19/2018,157.88
9/24/2018,162.33
10/3/2018,134.42
10/10/2018,149.62
10/16/2018,128.86
10/22/2018,126.69
10/29/2018,121.8
11/5/2018,118.06
11/14/2018,108.44
11/19/2018,128.31
11/28/2018,111.82
12/3/2018,95.08
12/11/2018,117.36
12/26/2018,95.5
1/2/2019,120.56
1/7/2019,120.14
1/15/2019,108.56
1/25/2019,69.29
1/29/2019,103.76
2/6/2019,97.24
2/12/2019,103.81
